SBL,LATITUDE,LONGITUDE,DEED YEAR,SALE PRICE,ADDRESS,PROPERTY CLASS,PROP CLASS DESCRIPTION
0887500003006000,42.9247077421,-78.888741415,1992,30500,159 GARNER,210,ONE FAMILY DWELLING
0903200004059000,42.9391841448,-78.8170181379,1994,29000,91 COMSTOCK,210,ONE FAMILY DWELLING
0904200007013000,42.9348547033,-78.8075184883,2013,25000,161 MILLICENT,210,ONE FAMILY DWELLING
0887500004026000,42.9225693613,-78.8884849403,2013,56000,85 GREENWOOD,220,TWO FAMILY DWELLING
0903200004003000,42.9391604051,-78.8165270135,1996,43300,19 THORNTON,210,ONE FAMILY DWELLING
0902400003002000,42.9406779082,-78.8170337209,1996,29000,233 BERKSHIRE,210,ONE FAMILY DWELLING
0886800004047000,42.9274535567,-78.8845102315,2008,12015,445 BAYNES,220,TWO FAMILY DWELLING
0893600001001000,42.939109533,-78.842439994,2006,34777,88 VERNON,210,ONE FAMILY DWELLING
0892100005018000,42.938970391,-78.8764634036,2009,178900,109 FORDHAM,220,TWO FAMILY DWELLING
0888400007009000,42.9217947746,-78.8867695207,2019,107000,226 HOYT,210,ONE FAMILY DWELLING
0893000003003000,42.9365953232,-78.8758894181,2002,330000,292 MIDDLESEX,210,ONE FAMILY DWELLING
0892700008018000,42.9399062045,-78.8472163049,2005,199900,239 SUMMIT,220,TWO FAMILY DWELLING
0891300002016000,42.9287968702,-78.876649983,2018,374000,1155 ELMWOOD,210,ONE FAMILY DWELLING
0902300002008000,42.9406309851,-78.8205270235,2009,11900,139 BERKSHIRE,210,ONE FAMILY DWELLING
0895200005009000,42.9310526741,-78.8376032751,2011,28500,261 DEWEY,210,ONE FAMILY DWELLING
0903400007027000,42.938324442,-78.8078901136,1999,25000,88 FENNIMORE,210,ONE FAMILY DWELLING
0903700007004000,42.9350699245,-78.8366643542,2014,25000,65 VICTORIA,220,TWO FAMILY DWELLING
0904000004007000,42.9351549695,-78.8187605219,1994,42900,466 OLYMPIC,210,ONE FAMILY DWELLING
0894400009018000,42.9342965039,-78.8398811173,2006,36000,116 JEWETT AVE,220,TWO FAMILY DWELLING
0897000001036000422,42.9242700041,-78.8731463946,2014,107500,710 POTOMAC,411,APARTMENT
0903100002017000,42.9378690194,-78.8212711305,2006,67000,109 PARKRIDGE,210,ONE FAMILY DWELLING
0903200002024000,42.9385838963,-78.8191329588,2015,42000,101 ELMER,210,ONE FAMILY DWELLING
0902600002013000,42.942009106,-78.8054085953,2015,33000,243 WESTMINSTER,210,ONE FAMILY DWELLING
0893500003037000,42.9368560435,-78.8432924735,2017,173000,47 GREENFIELD,220,TWO FAMILY DWELLING
0903800004024000,42.9351390135,-78.8278936651,1995,22900,85 MANHATTAN,210,ONE FAMILY DWELLING
0896600003036000,42.9255749305,-78.8488759418,2016,132000,132 LORING,220,TWO FAMILY DWELLING
0903200011020000,42.9370620747,-78.8202115376,2018,67800,63 POULTNEY,210,ONE FAMILY DWELLING
0903200004060000,42.9392714361,-78.8170161637,2018,26100,95 COMSTOCK,210,ONE FAMILY DWELLING
0903200005026000,42.93798421,-78.8167663279,2017,33000,184 HUTCHINSON,210,ONE FAMILY DWELLING
0902600004021000,42.9397655234,-78.8062654164,2000,20000,213 ORLEANS,210,ONE FAMILY DWELLING
0902400005016000,42.9396979679,-78.8180599636,1998,37500,125 THATCHER,210,ONE FAMILY DWELLING
0904600006016000,42.9318659816,-78.8262092894,1992,27000,64 MENDOLA,210,ONE FAMILY DWELLING
0904200005007000,42.9336278871,-78.8081433314,2018,40000,145 ROOSEVELT,210,ONE FAMILY DWELLING
0902400001003000,42.9413804825,-78.8198886555,2019,40000,167 STOCKBRIDGE,210,ONE FAMILY DWELLING
0897500005027000,42.9231404415,-78.846579888,2016,32000,41 OAKGROVE,210,ONE FAMILY DWELLING
0892800005002000,42.9400424574,-78.8426703279,2017,180000,1663 AMHERST ST,210,ONE FAMILY DWELLING
0902100005002000,42.9418968377,-78.8313417917,2016,34000,95 MERCER,220,TWO FAMILY DWELLING
0888400006005000,42.9218713632,-78.8857797659,2006,40890,371 DELAVAN WEST,210,ONE FAMILY DWELLING
0903500003004000,42.9386522463,-78.7999424285,2012,60000,400 EGGERT,210,ONE FAMILY DWELLING
