SBL,LATITUDE,LONGITUDE,DEED YEAR,SALE PRICE,ADDRESS,PROPERTY CLASS,PROP CLASS DESCRIPTION
1014200002004000,42.9151777599,-78.8066380684,2010,21000,2053 GENESEE,411,APARTMENT
1016600001009000,42.9062797583,-78.8054497139,2010,55000,832 WALDEN,465,PROFESSIONAL BUILDING
1016700002023000,42.9066862406,-78.7992952421,2016,27500,991 WALDEN,311,RESIDENTIAL VACANT LAND
1113700001005000,42.8917223966,-78.8811118487,2014,270000,83 PROSPECT,411,APARTMENT
1125800001015000,42.8864218945,-78.8078898713,2016,54000,60 IDEAL,210,ONE FAMILY DWELLING
1232700001017000,42.8755756654,-78.8037256512,2015,86000,133 WEAVER,411,APARTMENT
1333300005025000,42.850376495,-78.8113882663,2009,76000,420 CUMBERLAND,411,APARTMENT
1334600004007000,42.844441682,-78.831149311,2019,35261,30 LOCKWOOD,210,ONE FAMILY DWELLING
0773200003019000,42.9590667002,-78.9053274737,2003,15000,120 ROESCH,220,TWO FAMILY DWELLING
0776400005039000,42.9476871452,-78.9046407531,2019,120000,55 HUMPHREY,220,TWO FAMILY DWELLING
0778300005001000,42.9421149615,-78.8904490973,2016,20000,31 GROTE,411,APARTMENT
0787500001034000,42.9471308233,-78.8465201927,2013,125000,143 WALLACE,411,APARTMENT
0883500003003100,42.9385959554,-78.8905030581,2008,70000,972 GRANT,431,AUTO DEALERS
0888400002001000,42.9224431234,-78.8860875876,2009,20000,249 HOYT,220,TWO FAMILY DWELLING
0890600009007000,42.9383343637,-78.8694373378,2004,224586,66 DANA,210,ONE FAMILY DWELLING
0995200001016000,42.908852795,-78.8868503278,2008,60000,340 VERMONT,411,APARTMENT
0996000002025200,42.9071577877,-78.8861327555,2019,27500,84 FIFTEENTH,210,ONE FAMILY DWELLING
1003300002003100,42.9165335553,-78.8578819129,2019,155000,142 WAVERLY,210,ONE FAMILY DWELLING
1004800001037000,42.9115934494,-78.8641948783,2016,335000,36 UTICA EAST,411,APARTMENT
1004900002038000,42.9116930702,-78.8560989902,1999,15000,18 VERPLANCK,331,COM VAC W/IMP
1006300001014000,42.9063646824,-78.8691762705,2010,320000,151 LINWOOD AVE,411,APARTMENT
1006700001025000,42.9040291274,-78.848970266,2005,20000,518 BEST,210,ONE FAMILY DWELLING
1003000001051000,42.9172836209,-78.8767084476,2009,217000,739 ELMWOOD,482,DOWNTOWN ROW TYPE (DETACHED)
1007700010031100,42.8984915669,-78.8799489703,2007,50000,370 MARYLAND,220,TWO FAMILY DWELLING
1003500001043000,42.9164004897,-78.8456585372,2017,40000,174 BUTLER,220,TWO FAMILY DWELLING
1005100001031000,42.9107297829,-78.8444062312,2018,70000,571 UTICA EAST,220,TWO FAMILY DWELLING
10039000010320002H,42.913630992,-78.870318168,2005,122500,1088 DELAWARE,411,APARTMENT
1004000005042000,42.9127312026,-78.8631810977,2018,20000,58 GLENWOOD,210,ONE FAMILY DWELLING
1006700003038000,42.9050596186,-78.8467101871,2019,50000,45 NORWAY,220,TWO FAMILY DWELLING
1002900002005000,42.916709772,-78.8795749263,2014,340000,585 BRECKENRIDGE,210,ONE FAMILY DWELLING
1004000005054000,42.9127713142,-78.8650047961,2007,132500,1437 MAIN,464,OFFICE BUILDING
1003400003029000,42.9159698006,-78.8483712877,2015,12108,444 WOHLERS,210,ONE FAMILY DWELLING
1007100001012000,42.9033896242,-78.8701240136,2019,475000,45 LINWOOD AVE,283,RESIDENCE WITH COMMERCIAL USE
10039000010320006G,42.913630992,-78.870318168,2017,245000,1088 DELAWARE,411,APARTMENT
1003100001012000,42.9163085971,-78.8670577003,2015,349000,502 LINWOOD AVE,210,ONE FAMILY DWELLING
1004800002038100,42.9114814725,-78.8619109738,1994,78450,102 UTICA EAST,210,ONE FAMILY DWELLING
100300000201100016A,42.9162466683,-78.8720610362,2019,144000,770 FERRY WEST,411,APARTMENT
1003200004034200,42.9147754826,-78.8626368797,2010,105000,1516 MICHIGAN,210,ONE FAMILY DWELLING
1005800004028000,42.9060547103,-78.8498860987,2019,40000,213 TIMON,220,TWO FAMILY DWELLING
1004800001017000,42.9122327193,-78.8626138259,2014,20000,73 GLENWOOD,482,DOWNTOWN ROW TYPE (DETACHED)
1004500001051000,42.910994522,-78.881583738,2003,95000,311 RICHMOND,230,THREE FAMILY DWELLING
1005200005008000,42.910686995,-78.8416498668,2018,86500,645 UTICA EAST,220,TWO FAMILY DWELLING
1003500001027000,42.9166864228,-78.8443585924,1992,45000,255 BRUNSWICK,210,ONE FAMILY DWELLING
1004000001009000,42.91416344,-78.863360667,2015,29500,40 WOODLAWN,210,ONE FAMILY DWELLING
1005100002005000,42.9098431152,-78.8474479384,2016,35000,171 LANDON,220,TWO FAMILY DWELLING
1002900001006000,42.9166945696,-78.8809811767,2017,350000,553 BRECKENRIDGE,210,ONE FAMILY DWELLING
1004500001026000,42.9093491588,-78.880655124,2016,311000,166 NORWOOD,210,ONE FAMILY DWELLING
1003500003038000,42.9149378317,-78.845548228,2016,45000,504 FERRY EAST,220,TWO FAMILY DWELLING
1005400002015000,42.9086281792,-78.8731199591,2016,645000,166 BRYANT,210,ONE FAMILY DWELLING
1005200005012000,42.9106793277,-78.8411620122,2008,25000,657 UTICA EAST,230,THREE FAMILY DWELLING
100300000400100011B,42.9160799881,-78.871073686,2016,185000,800 FERRY WEST,411,APARTMENT
1007800001021000,42.8985810176,-78.8755885581,2016,235000,61 PARK,210,ONE FAMILY DWELLING
1011600001021000,42.9051639663,-78.8009576372,2007,215000,10 MCCARTHY,210,ONE FAMILY DWELLING
1003300006049000,42.9147197585,-78.855533352,2005,30000,127 VERPLANCK,220,TWO FAMILY DWELLING
1006100003013000,42.904987736,-78.87899961,1998,96000,283 SUMMER,411,APARTMENT
1004000003017000,42.9136844483,-78.8606019402,2006,15000,111 WOODLAWN,220,TWO FAMILY DWELLING
1003800002015000,42.9134686601,-78.8732105924,1997,270000,85 LEXINGTON,210,ONE FAMILY DWELLING
1002500002055100,42.9180514578,-78.8582186025,2018,88000,203 CHESTER,210,ONE FAMILY DWELLING
10039000010320008IJ,42.913630992,-78.870318168,2013,500000,1088 DELAWARE,411,APARTMENT
1004300005017000,42.9112889754,-78.8469113182,2019,23000,506 UTICA EAST,220,TWO FAMILY DWELLING
1002900001019000,42.9159750342,-78.8812452594,2016,465000,528 FERRY WEST,220,TWO FAMILY DWELLING
1006100001005110,42.9061204192,-78.8822798585,2017,152000,136 RICHMOND,220,TWO FAMILY DWELLING
1003200001006000,42.9173710611,-78.8639017295,1995,42500,52 BALCOM WEST,210,ONE FAMILY DWELLING
1004500002020000,42.9096993559,-78.8791729967,2014,384993,178 ASHLAND,411,APARTMENT
1006400001030000,42.9060418781,-78.8636604682,2016,15000,106 DODGE,220,TWO FAMILY DWELLING
1006200001015000,42.9060926249,-78.8755615771,2017,675000,11 ST ANDREWS,210,ONE FAMILY DWELLING
1005000002001000,42.9107850535,-78.8489043031,2007,23900,451 UTICA EAST,311,RESIDENTIAL VACANT LAND
1003000001022000,42.9171348318,-78.8741370962,2000,610000,154 CLEVELAND AVE,210,ONE FAMILY DWELLING
1004100003016120,42.9126247955,-78.8573408042,2009,35000,214 GLENWOOD,210,ONE FAMILY DWELLING
1005600003040100,42.9089462679,-78.8621284737,1995,63500,1307 MICHIGAN,210,ONE FAMILY DWELLING
1003900002026100,42.9127095159,-78.8667157387,2013,60000,387 LINWOOD AVE,210,ONE FAMILY DWELLING
10030000020110007B,42.9162466683,-78.8720610362,2013,108972,770 FERRY WEST,411,APARTMENT
1003800002064000,42.9138472113,-78.8732072251,2011,290000,96 HIGHLAND,220,TWO FAMILY DWELLING
1003300004007100,42.9165311444,-78.8558598285,2006,96250,19 ELSIE,210,ONE FAMILY DWELLING
1002900004006000,42.9151114548,-78.8774594889,2006,775000,625 FERRY WEST,464,OFFICE BUILDING
1007800001007100,42.8991876316,-78.8748324619,2010,215000,546 DELAWARE,411,APARTMENT
1004300002040000,42.9125306797,-78.8444593549,2018,81000,558 GLENWOOD,210,ONE FAMILY DWELLING
10039000010320009F,42.913630992,-78.870318168,2011,260000,1088 DELAWARE,411,APARTMENT
100300000201100020B,42.9162466683,-78.8720610362,2012,99900,770 FERRY WEST,411,APARTMENT
1012100003014000,42.920289245,-78.8329403441,2017,15000,208 DUTTON,210,ONE FAMILY DWELLING
1005400001039000,42.9080682923,-78.876732063,1999,125000,405 ELMWOOD,411,APARTMENT
1003800003009100,42.912247748,-78.8724313588,2001,117000,31 ATLANTIC,210,ONE FAMILY DWELLING
1003700004018000,42.9126930662,-78.8783746745,1995,73500,285 ASHLAND,411,APARTMENT
1006100004017000,42.9057804014,-78.8783282386,1994,141000,35 ASHLAND,411,APARTMENT
1007700009030000,42.8983820346,-78.8782858049,2019,431500,54 MARINER,230,THREE FAMILY DWELLING
1007100002011000,42.903469254,-78.8667719916,2010,83000,46 ST PAUL,330,COMMERCIAL VACANT LAND
1002700002026000,42.917955804,-78.846573975,2018,175000,148 HAMLIN,220,TWO FAMILY DWELLING
1004700001002000,42.9109783099,-78.8694483104,2002,175000,88 UTICA WEST,482,DOWNTOWN ROW TYPE (DETACHED)
1004000005035100,42.912942361,-78.8626792111,2012,30000,1450 MICHIGAN,433,AUTO BODY AND TIRE SHOPS
1008400004016000,42.9005010121,-78.8368357954,2017,39000,246 MILLS,220,TWO FAMILY DWELLING
1002500006011100,42.9181697633,-78.8553935479,2017,37000,102 ALEXANDER,210,ONE FAMILY DWELLING
1003600003021000,42.9165672001,-78.8402670339,2002,11000,76 SIDNEY,220,TWO FAMILY DWELLING
1007400004021000,42.9007307916,-78.8487552195,1996,84345,352 JOHNSON ST,210,ONE FAMILY DWELLING
100390000103200015I,42.913630992,-78.870318168,2018,180000,1088 DELAWARE,411,APARTMENT
1002400003003000,42.9204731505,-78.8618106686,2010,29000,983 LAFAYETTE AVE,220,TWO FAMILY DWELLING
1002200001039000,42.9197035891,-78.8761343405,2011,276000,211 LANCASTER,210,ONE FAMILY DWELLING
1003400003039000,42.9156893416,-78.8492968526,2017,15000,76 GOULDING,220,TWO FAMILY DWELLING
1003800002062000,42.9138264513,-78.8735546883,1999,90000,104 HIGHLAND,210,ONE FAMILY DWELLING
1007700007019000,42.8979953371,-78.8762140567,2018,305000,40 PARK,230,THREE FAMILY DWELLING
1002500005028100,42.9173351214,-78.8547969249,2017,130000,73 ALEXANDER,210,ONE FAMILY DWELLING
10030000040010003B,42.9160799881,-78.871073686,2018,215000,800 FERRY WEST,411,APARTMENT
1004400001016100,42.9144091601,-78.8410221697,2013,17000,621 FERRY EAST,220,TWO FAMILY DWELLING
1005700001053000,42.9086671073,-78.8563558035,2014,15500,162 EATON,220,TWO FAMILY DWELLING
1002700003047000,42.9172064829,-78.8465371589,2015,45800,196 BRUNSWICK,220,TWO FAMILY DWELLING
1006900005008000,42.9010447907,-78.8763374331,2016,440000,152 PARK,411,APARTMENT
1004900002053000,42.9116576484,-78.8552217692,2013,36000,14 WELKER,210,ONE FAMILY DWELLING
1003500001011000,42.9167056157,-78.8465458429,2019,72000,197 BRUNSWICK,220,TWO FAMILY DWELLING
1002400001018000,42.919290047,-78.8646099105,2018,275000,142 OXFORD,220,TWO FAMILY DWELLING
10030000040010005A,42.9160799881,-78.871073686,2006,127500,800 FERRY WEST,411,APARTMENT
1005300001033000,42.9078045647,-78.880765806,2007,220000,110 NORWOOD,210,ONE FAMILY DWELLING
1003400003054000,42.9157077577,-78.8512645741,1997,15000,24 GOULDING,220,TWO FAMILY DWELLING
1006200003007000,42.9039658988,-78.8710398467,2004,339000,56 LINWOOD AVE,281,MULTIPLE RESIDENCES
1002600002048000,42.9187391289,-78.8504404813,1993,59000,44 DONALDSON,210,ONE FAMILY DWELLING
10031000030281103S,42.914921461,-78.8686286319,2003,283500,1141 DELAWARE,411,APARTMENT
1002300001022000,42.9190123827,-78.870151204,2001,150000,7 MELBOURNE,210,ONE FAMILY DWELLING
1004500004001000,42.9096857715,-78.8785149405,2003,154000,204 HODGE,220,TWO FAMILY DWELLING
1002200001024000,42.9197161298,-78.8739904702,2018,385000,153 LANCASTER,210,ONE FAMILY DWELLING
1005000006030000,42.9091298104,-78.8502917656,2019,72750,431 RILEY,220,TWO FAMILY DWELLING
1004900004058100,42.9096110731,-78.8560391266,2005,25000,274 RILEY,220,TWO FAMILY DWELLING
1005400002022000303,42.9085546116,-78.8716766801,2018,252000,900 DELAWARE,411,APARTMENT
1005000007040000,42.9095573054,-78.849651841,2018,45000,446 RILEY,220,TWO FAMILY DWELLING
1008400004021000,42.9002470745,-78.8372549578,2019,50000,52 B ST,220,TWO FAMILY DWELLING
1012200002023000,42.9175397533,-78.8269070646,2006,36900,110 SCHUELE,311,RESIDENTIAL VACANT LAND
1005200002021000,42.9107316432,-78.8378638308,2004,35000,28 FRENCH,220,TWO FAMILY DWELLING
1008300003037100,42.897929515,-78.8426991717,2017,31000,204 REED,215,SINGLE FAMILY W/ APARTMENT
1008400006021000,42.8985122272,-78.8373095618,2015,19000,924 SYCAMORE,210,ONE FAMILY DWELLING
1002400001008000,42.9201963923,-78.8642459431,2015,54000,176 OXFORD,210,ONE FAMILY DWELLING
1002400004012100,42.9178673356,-78.860357482,2018,35000,23 BALCOM EAST,311,RESIDENTIAL VACANT LAND
100690000601100045,42.9032659026,-78.8807745058,2019,148000,309 NORTH ST,411,APARTMENT
1005800003034000,42.9066369945,-78.8488224575,1998,26000,101 ROEHRER,210,ONE FAMILY DWELLING
1007400001023000,42.9004633676,-78.8532109974,1997,18000,414 HIGH,311,RESIDENTIAL VACANT LAND
1003100003001000,42.9151635632,-78.8682807079,2012,165000,873 FERRY WEST,210,ONE FAMILY DWELLING
1004800006039000,42.9106952514,-78.8645777658,2006,12100,33 UTICA EAST,330,COMMERCIAL VACANT LAND
1008100009020000,42.8989391809,-78.8566327305,2014,37500,112 GRAPE,220,TWO FAMILY DWELLING
1003100002047000,42.9175897222,-78.8656230776,1997,92500,549 LINWOOD AVE,210,ONE FAMILY DWELLING
1002100003003000,42.9199842989,-78.8780674445,2016,600000,545 LAFAYETTE AVE,210,ONE FAMILY DWELLING
1002900004020000,42.9143316067,-78.8784767871,2012,195000,235 HIGHLAND,220,TWO FAMILY DWELLING
1012300001002000,42.9191203881,-78.8241201024,2016,19000,952 NORTHLAND,210,ONE FAMILY DWELLING
1002900004024000,42.914746831,-78.8782999827,2010,147500,355 ASHLAND,210,ONE FAMILY DWELLING
1003700004005000,42.9129087035,-78.8776982794,2014,350000,208 LEXINGTON,220,TWO FAMILY DWELLING
1007400003005000,42.9035365993,-78.850759042,2016,20000,469 BEST,220,TWO FAMILY DWELLING
1003000001070000,42.9165410678,-78.8762563707,2005,115000,666 FERRY WEST,210,ONE FAMILY DWELLING
1002300002001110,42.9187497896,-78.8676871805,2017,1952500,1275 DELAWARE,464,OFFICE BUILDING
1002200002006000,42.9192244215,-78.875802339,2001,130000,204 LANCASTER,411,APARTMENT
1003400001040000,42.9160016866,-78.8535806398,2013,35000,1495 JEFFERSON,484,ONE STORY SMALL STRUCTURE
10030000040010005CC,42.9160799881,-78.871073686,2018,212500,800 FERRY WEST,411,APARTMENT
1002600004046000,42.9172332546,-78.8504003626,2018,58000,92 BRUNSWICK,220,TWO FAMILY DWELLING
1008100012031120,42.899468523,-78.8599118335,1993,73895,211 LOCUST,210,ONE FAMILY DWELLING
1003800005042000,42.9125011488,-78.8753472553,2014,185000,178 ANDERSON,220,TWO FAMILY DWELLING
1004400003017000,42.9125678388,-78.8381284895,2017,33900,730 GLENWOOD,220,TWO FAMILY DWELLING
1007800008010000,42.8997218425,-78.8729725019,2005,85000,575 DELAWARE,331,COM VAC W/IMP
1005000007056100,42.909581195,-78.8516014357,2007,10300,396 RILEY,220,TWO FAMILY DWELLING
100300000201100030B,42.9162466683,-78.8720610362,2016,132500,770 FERRY WEST,411,APARTMENT
1008400002026000,42.8999091076,-78.8408416311,1993,13000,263 STRAUSS,311,RESIDENTIAL VACANT LAND
1007000001016000,42.9030908759,-78.8752322437,2019,395000,18 MAYFAIR,210,ONE FAMILY DWELLING
1006200001009000,42.9063635489,-78.8759486188,2017,570000,18 ST ANDREWS,210,ONE FAMILY DWELLING
1003900001032000151,42.913630992,-78.870318168,2003,127500,1088 DELAWARE,331,COM VAC W/IMP
1005300003015000,42.9081041043,-78.8782805871,2002,87500,119 ASHLAND,220,TWO FAMILY DWELLING
1005400003009000702,42.9071445614,-78.8708484589,2013,249900,849 DELAWARE,411,APARTMENT
1005100001011000,42.9107620548,-78.8468244248,2016,77000,509 UTICA EAST,220,TWO FAMILY DWELLING
1004300002027111,42.9130385633,-78.8450916979,2017,38000,213 WINSLOW,220,TWO FAMILY DWELLING
1006100003001000,42.9064723512,-78.8791993764,2001,137000,60 ASHLAND,230,THREE FAMILY DWELLING
1003400004029000,42.9152337602,-78.8483803166,2017,39000,416 WOHLERS,230,THREE FAMILY DWELLING
1005300002051000,42.9065677854,-78.8791964462,1996,66000,64 ASHLAND,220,TWO FAMILY DWELLING
1005800005038000,42.9068131515,-78.8510498664,2000,19250,235 PERSHING,311,RESIDENTIAL VACANT LAND
1002600001031100,42.9174042784,-78.8532416948,1991,32000,18 BRUNSWICK,220,TWO FAMILY DWELLING
1007700007006000,42.8991895242,-78.8761499218,1996,35000,166 ALLEN,481,DOWNTOWN ROW TYPE (W/COMMON WALL)
1007600001011000,42.9030347788,-78.8418881681,2019,27000,60 SWEENEY,220,TWO FAMILY DWELLING
1002900006012000,42.9146812504,-78.8807368134,1997,83000,360 NORWOOD,220,TWO FAMILY DWELLING
1003800001028000,42.9143534736,-78.8727604126,1998,191500,85 HIGHLAND,210,ONE FAMILY DWELLING
10062000040050001,42.9043484878,-78.8763579729,2004,70000,216 SUMMER,411,APARTMENT
1004500002050000,42.9107319206,-78.8799528885,2004,170000,215 NORWOOD,220,TWO FAMILY DWELLING
1007800010017000,42.8999888487,-78.8757351428,2014,370000,111 PARK,210,ONE FAMILY DWELLING
1004900003045000,42.9103378487,-78.8565506936,2019,60000,222 LAUREL,220,TWO FAMILY DWELLING
1002400004009200,42.9177924406,-78.8597997703,2005,79900,568 MASTEN,210,ONE FAMILY DWELLING
1002700003024000,42.9174812797,-78.8445038992,1995,45000,203 HAMLIN,220,TWO FAMILY DWELLING
1002100006009000,42.9180676119,-78.8807142342,2017,465000,484 NORWOOD,210,ONE FAMILY DWELLING
1002200001063000,42.9201023148,-78.8735401245,2009,280000,671 LAFAYETTE AVE,210,ONE FAMILY DWELLING
1003500001036000,42.9163922465,-78.8447430919,2008,52000,198 BUTLER,220,TWO FAMILY DWELLING
1007400002032000,42.9010805623,-78.8518114721,2019,25000,30 PERSHING,210,ONE FAMILY DWELLING
1005300001019000017,42.9087266779,-78.8815031685,2019,253000,233 RICHMOND,411,APARTMENT
1002600002034000,42.9187159426,-78.848612003,2011,65000,94 DONALDSON,210,ONE FAMILY DWELLING
1003900001032000292,42.913630992,-78.870318168,1998,128500,1088 DELAWARE,312,RESIDENTIAL LAND WITH SMALL IMPROVEMENTS
1005800003016000,42.906261022,-78.8484088917,2015,11000,88 WOHLERS,220,TWO FAMILY DWELLING
1005600004034000,42.9078287432,-78.8613651053,1992,31200,150 NORTHAMPTON,220,TWO FAMILY DWELLING
1003500004048000,42.9141233951,-78.8460425187,2019,57000,506 WOODLAWN,220,TWO FAMILY DWELLING
1002900003024000,42.9160201453,-78.8783882285,2003,83500,409 ASHLAND,220,TWO FAMILY DWELLING
1003400004013000,42.915250604,-78.8504744526,2014,39500,43 GOULDING,220,TWO FAMILY DWELLING
1003700007019000,42.9125329472,-78.8790922318,2015,200000,76 ANDERSON,220,TWO FAMILY DWELLING
1003400002018000,42.9167307575,-78.8497380306,2009,15000,109 BRUNSWICK,220,TWO FAMILY DWELLING
1006300001003210,42.9044078795,-78.8695673349,1996,148000,79 LINWOOD AVE,331,COM VAC W/IMP
1004600002021200,42.9091809977,-78.8724453879,2007,200000,147 BRYANT,210,ONE FAMILY DWELLING
1005400003002000,42.9086324508,-78.8701397117,2006,202000,90 BRYANT,210,ONE FAMILY DWELLING
1004400005009000,42.9135434601,-78.841555452,2019,32500,631 WOODLAWN,220,TWO FAMILY DWELLING
1003400002030000,42.916424221,-78.8482327871,2011,46000,104 BUTLER,220,TWO FAMILY DWELLING
1003600003001000,42.9179646814,-78.8396213991,2018,29000,1626 FILLMORE,220,TWO FAMILY DWELLING
1003200003003000,42.9162147691,-78.8595111816,1993,17000,506 MASTEN,311,RESIDENTIAL VACANT LAND
1008400003010000,42.8984154283,-78.8397237495,1996,36000,920 FILLMORE,210,ONE FAMILY DWELLING
1008300006012000,42.8987751787,-78.8462081904,2000,27000,260 FOX,281,MULTIPLE RESIDENCES
1008200003008120,42.8990177009,-78.8525224691,1993,73895,35 CAYUGA,210,ONE FAMILY DWELLING
10069000060110003,42.9032659026,-78.8807745058,2015,137500,309 NORTH ST,411,APARTMENT
1007800004034100,42.8988246812,-78.8721112052,2014,750000,481 FRANKLIN,411,APARTMENT
1003600004018000,42.9160424653,-78.8404845642,2018,20000,69 SIDNEY,220,TWO FAMILY DWELLING
1005200006057000,42.9112331003,-78.8423031331,2015,30000,630 UTICA EAST,220,TWO FAMILY DWELLING
1004600002027000,42.9092420366,-78.8734781479,2004,143600,175 BRYANT,220,TWO FAMILY DWELLING
1002200002002000,42.9192704624,-78.8764010025,2016,380000,218 LANCASTER,210,ONE FAMILY DWELLING
1002900005015000,42.9143498977,-78.8789524354,2016,245000,348 ASHLAND,210,ONE FAMILY DWELLING
1003100002037000,42.9164279855,-78.8660089178,2005,150000,505 LINWOOD AVE,210,ONE FAMILY DWELLING
10039000010320006D,42.913630992,-78.870318168,2009,131500,1088 DELAWARE,411,APARTMENT
1005400003009000801,42.9071445614,-78.8708484589,2012,209900,849 DELAWARE,411,APARTMENT
1003300004054120,42.9162522171,-78.8565520958,1998,38900,2 HARLOW,210,ONE FAMILY DWELLING
1004300004028000,42.9117366977,-78.8461912073,2018,44000,23 CELTIC,210,ONE FAMILY DWELLING
1005400003009000803,42.9071445614,-78.8708484589,2016,290000,849 DELAWARE,411,APARTMENT
1003700001017000,42.9134709104,-78.8813030626,2015,385000,301 LEXINGTON,411,APARTMENT
1007600004007000,42.9034119801,-78.8380310806,1996,10500,797 BEST,311,RESIDENTIAL VACANT LAND
1007700010022100,42.8980663531,-78.8796270534,2016,254000,369 MARYLAND,210,ONE FAMILY DWELLING
1002600002039000,42.9187235993,-78.8492675022,2004,23000,76 DONALDSON,210,ONE FAMILY DWELLING
1003500002026000,42.9160194707,-78.8440460746,2002,64000,691 HUMBOLDT,210,ONE FAMILY DWELLING
1002900004016000,42.9143850451,-78.8779736418,2011,240000,221 HIGHLAND,210,ONE FAMILY DWELLING
1003200001030000,42.9155226935,-78.8649316264,2011,125000,1542 MAIN,482,DOWNTOWN ROW TYPE (DETACHED)
1008000007006000,42.8994865764,-78.8625751601,2017,108000,242 MAPLE,311,RESIDENTIAL VACANT LAND
1007500005006000,42.9034783353,-78.842863675,2008,15000,683 BEST,210,ONE FAMILY DWELLING
1004500002055000,42.9111602224,-78.8799511759,2005,242700,231 NORWOOD,220,TWO FAMILY DWELLING
1005800002008000,42.9078298446,-78.8483541993,2019,15000,144 WOHLERS,220,TWO FAMILY DWELLING
1005400003009000405,42.9071445614,-78.8708484589,2012,82000,849 DELAWARE,411,APARTMENT
100300000201100020A,42.9162466683,-78.8720610362,2016,135000,770 FERRY WEST,411,APARTMENT
1007800010004000,42.9003392274,-78.8753545271,2017,435000,32 IRVING,230,THREE FAMILY DWELLING
1007800004019000,42.8977752897,-78.8719591327,2017,505000,34 PEARL NORTH,210,ONE FAMILY DWELLING
1004300002024000,42.9128597901,-78.8452369014,2012,37000,205 WINSLOW,210,ONE FAMILY DWELLING
1005500002008000,42.9079008397,-78.865550102,2013,84000,38 NORTHAMPTON,220,TWO FAMILY DWELLING
1005000006015000,42.9091513184,-78.8521108222,2019,33000,381 RILEY,220,TWO FAMILY DWELLING
1003300006002120,42.9150461886,-78.8563894663,1996,72500,209 FERRY EAST,210,ONE FAMILY DWELLING
1002200002083000,42.9189039617,-78.8762649469,2017,312500,656 AUBURN,220,TWO FAMILY DWELLING
1004600001056000,42.9101758313,-78.8765486411,2016,1250000,149 HODGE,331,COM VAC W/IMP
1012100001027000,42.9196205464,-78.8348032657,2007,35000,20 SCHAUF,220,TWO FAMILY DWELLING
1002200004024100,42.9177609737,-78.8762879509,1996,90000,201 CLEVELAND AVE,230,THREE FAMILY DWELLING
1003800005010000,42.9128818733,-78.8752244021,2009,217302,142 LEXINGTON,210,ONE FAMILY DWELLING
1002400001011000,42.9199246287,-78.8643299015,2017,180000,166 OXFORD,210,ONE FAMILY DWELLING
1004100001019000,42.9126414106,-78.859380375,2013,20000,162 GLENWOOD,281,MULTIPLE RESIDENCES
1003100003023000,42.9147913062,-78.8674882679,2016,205000,446 LINWOOD AVE,411,APARTMENT
1007000006015000,42.9012776236,-78.8757092855,2007,246000,157 PARK,220,TWO FAMILY DWELLING
1006000006011000,42.9081039383,-78.8414087228,2018,38000,43 GIRARD,281,MULTIPLE RESIDENCES
1007500002013000,42.9021621892,-78.8460196836,2008,15000,600 NORTH ST EAST,482,DOWNTOWN ROW TYPE (DETACHED)
1003800002067000,42.9138288608,-78.8727567856,2001,225000,84 HIGHLAND,210,ONE FAMILY DWELLING
1002900003006000,42.9166398866,-78.8777755902,2019,360000,633 BRECKENRIDGE,210,ONE FAMILY DWELLING
1004600001028000,42.91014828,-78.8712583182,2002,865000,950 DELAWARE,411,APARTMENT
1002400003015000,42.9205070865,-78.8603870613,2019,52500,1021 LAFAYETTE AVE,311,RESIDENTIAL VACANT LAND
1003000001076000,42.9165410678,-78.8762563707,2010,180000,666 FERRY WEST,210,ONE FAMILY DWELLING
1004200002016000,42.9136321178,-78.8511731144,1998,39000,369 WOODLAWN,220,TWO FAMILY DWELLING
10062000040050002,42.9043484878,-78.8763579729,2008,117000,216 SUMMER,411,APARTMENT
1005300003027200,42.9083618383,-78.8778310869,2019,965000,412 ELMWOOD,220,TWO FAMILY DWELLING
1007100002026000,42.9030690315,-78.8670995995,2010,53800,35 ST PAUL,330,COMMERCIAL VACANT LAND
1012200004013000,42.9181811889,-78.824703406,2018,53000,532 MOSELLE,220,TWO FAMILY DWELLING
1011600001017000,42.905454751,-78.8009146916,1995,122000,226 BAKOS BLVD,210,ONE FAMILY DWELLING
1002700003038000,42.9171945915,-78.8453324058,2003,19000,226 BRUNSWICK,220,TWO FAMILY DWELLING
1002100006026000,42.9174562422,-78.881399999,2008,199000,551 RICHMOND,210,ONE FAMILY DWELLING
1006400006038100,42.9051414838,-78.8646340679,2018,70000,30 EDNA,220,TWO FAMILY DWELLING
1002400002049000,42.9199342619,-78.863575005,2003,70000,167 OXFORD,220,TWO FAMILY DWELLING
1005300001019000001,42.9087266779,-78.8815031685,2013,203000,233 RICHMOND,411,APARTMENT
1005400002037000,42.90822074,-78.874360164,2003,490000,123 OAKLAND,210,ONE FAMILY DWELLING
1007300007023000,42.9013074664,-78.8582950944,1994,325000,265 LEMON,311,RESIDENTIAL VACANT LAND
1002600002001000,42.9190679136,-78.8520035594,2009,25000,215 NORTHLAND,220,TWO FAMILY DWELLING
1005100003010000,42.9090974168,-78.8469350962,2008,13000,519 RILEY,220,TWO FAMILY DWELLING
1002600004021000,42.9175228391,-78.849339472,2006,59900,73 HAMLIN,210,ONE FAMILY DWELLING
1002900002021000,42.9159171654,-78.8793711509,2016,704900,580 FERRY WEST,210,ONE FAMILY DWELLING
1005200004014000,42.9097807209,-78.8410713739,1994,29900,345 LANDON,220,TWO FAMILY DWELLING
